,MAE,RMSE,R²,MAPE
Random Forest,1.3576656872847117,1.7584027812358698,0.9903218653657148,1.3641051414487537
XGBoost,2.487981832437201,3.1439859229855887,0.9690602983817153,2.4572634044958725
LightGBM,2.084385815494123,2.64158806163106,0.9781583661829368,2.0600816213168036
MLP Regressor,2.1117671350576805,2.685866693309647,0.9774200049318452,2.0860513887553203
SVR,2.0509400869870036,2.9752063949752547,0.9722930237115397,2.092195733091847
Linear Regression,3.0159841889289862,3.8794771842842364,0.9528912761591978,3.0141570815707137
