,MAE,RMSE,R²,MAPE
Random Forest,1.399587707916357,1.7982194665503293,0.9896297645391955,1.3811387210973796
XGBoost,2.6013561253345237,3.319804574637044,0.9646549772230097,2.5406144517047102
LightGBM,2.3598844569903457,3.0135008139752997,0.9708763465927365,2.304429490657238
MLP Regressor,2.675724164355783,3.434988418189703,0.9621597687396163,2.614724808401708
SVR,2.5655241038085546,3.4916068009719443,0.9609020587893603,2.5348054262386888
Linear Regression,3.1984000963916452,4.097515345489244,0.9461551210207712,3.144496078828391
