,MAE,RMSE,R²,MAPE
Random Forest,1.4029979984959606,1.804177209159703,0.9895609347407927,1.3864539288906497
XGBoost,2.4275617442132087,3.1232846488459987,0.9687157058271593,2.3697307050895833
LightGBM,2.6650071555591808,3.398602968721583,0.9629571756199042,2.6030659953472775
MLP Regressor,2.6562655361515652,3.3874889601847324,0.9631990521292283,2.5791158550140154
SVR,2.5747889711831706,3.493070400699592,0.9608692740385023,2.543863192012503
Linear Regression,3.1984000978628875,4.097515345489399,0.946155121020767,3.144496079296856
