,MAE,RMSE,R²,MAPE
Random Forest,1.364709962849903,1.7703025764300444,0.9901904307320264,1.3727976025053974
XGBoost,2.3364832990103883,2.960455742775453,0.9725670771977377,2.303930101629587
LightGBM,1.884937591361587,2.3958146835135397,0.9820335869489348,1.861540410825959
MLP Regressor,2.1551282174697954,2.764884305969998,0.9760718643478296,2.1228114518122174
SVR,2.0761391934981632,2.9757798329210994,0.9722823422591637,2.1183908870517327
Linear Regression,3.0159841904470626,3.8794771842842772,0.9528912761591968,3.014157082185202
